do, do, do, do, la, mi, so, so, so
do, fa, ti, re, ti, so, so, do, so
do, fa, ti, so, fa, la, la, so, ti
do, fa, ti, so, ti, do, re, mi, so
do, fa, ti, so, ti, la, do, fa, mi
do, fa, ti, ti, fa, ti, ti, re, la
do, fa, ti, ti, la, do, do, la, ti
do, fa, ti, ti, la, so, mi, ti, re
do, fa, ti, ti, re, do, so, ti, re
do, la, do, do, ti, do, so, fa, ti
do, la, do, do, ti, mi, fa, mi, do
do, la, do, fa, fa, do, la, mi, so
do, la, do, fa, fa, ti, mi, fa, mi
do, la, do, fa, la, fa, mi, do, ti
do, la, do, fa, re, ti, re, do, so
do, la, do, la, mi, mi, la, so, re
do, la, do, la, so, re, re, ti, do
do, la, do, la, so, so, re, re, so
do, la, do, mi, do, mi, mi, ti, so
do, la, do, re, la, do, fa, re, ti
do, la, do, re, re, do, do, so, mi
do, la, do, re, so, ti, la, la, re
do, la, do, re, ti, re, do, fa, do
do, la, do, ti, do, do, so, la, fa
do, la, do, ti, re, so, fa, do, mi
do, la, fa, do, mi, do, fa, do, do
do, la, fa, do, re, ti, fa, ti, so
do, la, fa, do, ti, ti, la, fa, la
do, la, fa, fa, la, la, la, la, mi
do, la, fa, la, fa, do, re, la, so
do, la, fa, la, fa, la, do, ti, re
do, la, fa, la, fa, re, so, re, fa
do, la, fa, la, mi, fa, mi, ti, so
do, la, fa, la, ti, so, la, ti, mi
do, la, fa, mi, do, so, la, mi, so
do, la, fa, so, do, la, mi, la, do
do, la, fa, so, fa, re, fa, do, ti
do, la, fa, ti, so, mi, do, la, re
do, la, la, do, do, la, re, re, re
do, la, la, do, so, do, re, re, re
do, la, la, fa, mi, la, so, so, do
do, la, la, la, so, re, la, do, fa
do, la, la, la, ti, so, re, la, re
do, la, la, mi, mi, mi, re, mi, do
do, la, la, re, fa, mi, ti, so, do
do, la, la, re, mi, re, fa, re, so
do, la, la, re, so, ti, re, re, fa
do, la, la, ti, la, mi, la, la, re
do, la, la, ti, mi, so, re, ti, la
do, la, mi, do, fa, mi, la, so, so
do, la, mi, do, re, ti, fa, ti, re
do, la, mi, do, so, mi, ti, do, do
do, la, mi, fa, la, la, so, re, ti
do, la, mi, la, la, mi, do, ti, re
do, la, mi, la, la, re, do, la, do
do, la, mi, mi, ti, fa, so, do, so
do, la, mi, re, mi, mi, la, re, re
do, la, mi, re, re, re, la, re, mi
do, la, mi, re, re, ti, so, do, ti
do, la, mi, so, mi, do, la, ti, do
do, la, mi, ti, do, la, so, re, mi
do, la, re, do, la, mi, do, mi, fa
do, la, re, fa, mi, la, do, re, mi
do, la, re, fa, mi, re, do, so, re
do, la, re, la, do, fa, so, do, so
do, la, re, la, do, la, ti, do, mi
do, la, re, la, do, so, fa, do, re
do, la, re, mi, do, fa, mi, ti, mi
do, la, re, mi, la, so, ti, do, re
do, la, re, re, so, ti, ti, fa, la
do, la, re, ti, do, re, fa, fa, so
do, la, so, la, fa, mi, do, la, mi
do, la, so, la, mi, do, re, la, la
do, la, so, la, mi, ti, do, mi, so
do, la, so, la, so, fa, so, do, fa
do, la, so, mi, do, do, do, re, re
do, la, so, mi, la, mi, ti, re, fa
do, la, so, mi, re, so, fa, ti, do
do, la, so, so, fa, do, re, ti, mi
do, la, so, so, mi, ti, re, la, ti
do, la, so, ti, do, re, so, re, ti
do, la, so, ti, la, la, la, re, fa
do, la, so, ti, mi, la, so, ti, do
do, la, ti, do, fa, la, re, fa, ti
do, la, ti, do, ti, do, so, la, la
do, la, ti, fa, re, la, mi, fa, so
do, la, ti, fa, re, ti, fa, re, la
do, la, ti, fa, so, ti, ti, fa, re
do, la, ti, fa, ti, do, re, la, fa
do, la, ti, la, la, so, fa, fa, so
do, la, ti, la, so, la, re, fa, fa
do, la, ti, mi, re, fa, ti, fa, ti
do, la, ti, mi, re, so, mi, re, fa
do, la, ti, re, so, do, fa, re, so
do, la, ti, re, so, re, ti, re, la
do, la, ti, so, fa, mi, do, fa, so
do, la, ti, so, la, mi, re, ti, la
do, la, ti, so, ti, la, do, so, mi
do, la, ti, ti, re, ti, la, fa, ti
do, la, ti, ti, so, ti, re, re, re
do, mi, do, do, fa, so, la, do, re
do, mi, do, do, mi, mi, mi, do, so
do, mi, do, fa, mi, re, fa, mi, ti
do, mi, do, fa, ti, so, do, so, mi
do, mi, do, la, re, la, fa, re, mi
do, mi, do, mi, ti, fa, la, mi, ti
do, mi, do, re, do, fa, re, do, so
do, mi, do, re, re, la, ti, re, mi
do, mi, do, so, so, re, do, mi, la
do, mi, do, so, ti, do, mi, la, fa
do, mi, do, ti, fa, so, ti, mi, fa
do, mi, do, ti, la, la, ti, la, so
do, mi, do, ti, mi, fa, ti, so, mi
do, mi, fa, do, do, so, do, la, so
do, mi, fa, fa, la, mi, la, so, mi
do, mi, fa, fa, mi, so, do, re, re
do, mi, fa, fa, re, fa, do, la, ti
do, mi, fa, fa, re, fa, do, so, ti
do, mi, fa, fa, re, ti, la, do, so
do, mi, fa, fa, re, ti, re, so, do
do, mi, fa, la, do, re, la, ti, ti
do, mi, fa, la, fa, do, la, do, la
do, mi, fa, la, mi, do, so, la, do
do, mi, fa, mi, do, la, mi, do, ti
do, mi, fa, mi, re, la, so, re, la
do, mi, fa, re, fa, so, so, fa, do
do, mi, fa, re, la, do, do, mi, so
do, mi, fa, re, ti, ti, so, la, la
do, mi, fa, so, la, mi, la, so, fa
do, mi, fa, so, mi, so, do, re, do
do, mi, fa, ti, re, fa, ti, do, so
do, mi, la, do, fa, mi, la, fa, re
do, mi, la, do, re, la, fa, do, fa
do, mi, la, fa, do, so, do, fa, re
do, mi, la, fa, la, so, re, re, la
do, mi, la, fa, so, la, mi, la, re
do, mi, la, fa, ti, do, mi, so, mi
do, mi, la, mi, la, fa, fa, do, so
do, mi, la, mi, la, fa, so, fa, so
do, mi, la, re, do, ti, do, do, do
do, mi, la, re, do, ti, so, ti, so
do, mi, la, re, mi, la, re, so, fa
do, mi, la, re, mi, la, ti, do, do
do, mi, la, re, so, re, fa, do, ti
do, mi, la, so, do, mi, so, do, do
do, mi, la, so, ti, mi, ti, mi, do
do, mi, la, so, ti, ti, ti, re, do
do, mi, la, ti, fa, mi, re, do, re
do, mi, la, ti, fa, re, ti, ti, la
do, mi, la, ti, so, fa, fa, so, ti
do, mi, la, ti, ti, fa, so, ti, ti
do, mi, mi, do, mi, ti, do, do, ti
do, mi, mi, do, so, so, la, mi, so
do, mi, mi, do, ti, do, ti, ti, mi
do, mi, mi, fa, fa, mi, la, la, do
do, mi, mi, fa, so, re, so, re, re
do, mi, mi, fa, ti, fa, so, re, so
do, mi, mi, la, ti, la, mi, so, la
do, mi, mi, mi, mi, so, ti, do, mi
do, mi, mi, so, do, fa, do, ti, so
do, mi, mi, so, mi, fa, la, so, re
do, mi, mi, so, re, so, fa, re, re
do, mi, mi, so, so, mi, fa, so, ti
do, mi, re, do, do, la, ti, ti, do
do, mi, re, do, do, re, ti, so, do
do, mi, re, do, la, do, re, do, do
do, mi, re, do, la, re, so, do, fa
do, mi, re, do, mi, so, la, ti, ti
do, mi, re, do, mi, so, mi, do, ti
do, mi, re, do, re, la, mi, mi, la
do, mi, re, fa, mi, la, fa, la, so
do, mi, re, la, fa, so, la, ti, re
do, mi, re, la, so, do, so, re, ti
do, mi, re, mi, la, so, mi, re, la
do, mi, re, mi, so, ti, do, la, re
do, mi, re, mi, ti, re, do, re, mi
do, mi, re, re, la, mi, mi, mi, so
do, mi, re, re, re, mi, do, fa, do
do, mi, re, so, do, la, do, ti, ti
do, mi, re, so, fa, ti, ti, do, do
do, mi, re, ti, do, la, la, ti, ti
do, mi, re, ti, la, fa, fa, so, la
do, mi, re, ti, la, mi, ti, so, do
do, mi, re, ti, la, re, re, la, do
do, mi, re, ti, mi, fa, ti, ti, la
do, mi, re, ti, so, ti, mi, mi, fa
do, mi, so, do, do, do, do, la, mi
do, mi, so, do, fa, do, mi, fa, re
do, mi, so, fa, la, so, re, re, ti
do, mi, so, fa, re, fa, mi, fa, do
do, mi, so, la, ti, la, mi, mi, mi
do, mi, so, mi, do, re, la, do, so
do, mi, so, mi, la, mi, do, ti, so
do, mi, so, mi, la, so, so, do, ti
do, mi, so, re, fa, mi, so, mi, mi
do, mi, so, re, re, so, so, mi, ti
do, mi, so, so, fa, la, so, mi, ti
do, mi, so, so, fa, so, re, mi, la
do, mi, so, so, mi, re, la, mi, fa
do, mi, so, so, re, la, do, re, fa
do, mi, so, so, re, ti, la, ti, do
do, mi, so, ti, la, do, fa, do, re
do, mi, ti, do, do, mi, fa, re, do
do, mi, ti, do, re, so, mi, mi, la
do, mi, ti, fa, mi, la, la, la, la
do, mi, ti, fa, re, so, re, la, re
do, mi, ti, fa, ti, la, so, do, la
do, mi, ti, la, do, fa, mi, mi, so
do, mi, ti, la, fa, do, do, re, ti
do, mi, ti, la, mi, do, do, do, mi
do, mi, ti, la, ti, so, re, do, do
do, mi, ti, mi, fa, mi, fa, mi, ti
do, mi, ti, re, do, fa, mi, fa, so
do, mi, ti, re, fa, do, do, do, la
do, mi, ti, re, fa, fa, re, ti, la
do, mi, ti, so, fa, ti, fa, do, la
do, mi, ti, so, mi, la, mi, so, so
do, mi, ti, ti, do, re, re, do, do
do, mi, ti, ti, do, so, so, fa, mi
do, mi, ti, ti, la, re, re, mi, ti
do, mi, ti, ti, ti, so, ti, mi, fa
do, re, do, do, re, fa, mi, fa, do
do, re, do, la, so, do, mi, re, fa
do, re, do, la, ti, la, so, ti, so
do, re, do, la, ti, so, ti, re, fa
do, re, do, mi, fa, ti, re, so, do
do, re, do, mi, re, so, re, mi, so
do, re, do, mi, so, do, fa, do, so
do, re, do, so, do, do, so, re, la
do, re, do, ti, do, fa, ti, mi, ti
do, re, do, ti, la, la, so, re, mi
do, re, do, ti, ti, la, do, so, la
do, re, fa, fa, do, la, mi, so, re
do, re, fa, fa, la, so, re, mi, fa
do, re, fa, fa, so, do, do, mi, fa
do, re, fa, la, fa, la, fa, do, so
do, re, fa, la, re, so, so, ti, re
do, re, fa, la, re, so, ti, so, fa
do, re, fa, la, re, ti, re, ti, re
do, re, fa, mi, do, so, do, so, la
do, re, fa, mi, fa, so, do, mi, do
do, re, fa, mi, ti, so, re, do, re
do, re, fa, re, la, do, ti, la, mi
do, re, fa, so, fa, ti, mi, la, do
do, re, fa, ti, la, mi, mi, do, fa
do, re, fa, ti, la, re, fa, fa, re
do, re, fa, ti, so, so, fa, so, re
do, re, la, do, re, fa, so, mi, fa
do, re, la, fa, la, do, la, do, do
do, re, la, fa, mi, mi, ti, mi, la
do, re, la, fa, mi, so, do, mi, fa
do, re, la, mi, do, fa, re, mi, fa
do, re, la, mi, re, so, mi, re, ti
do, re, la, re, so, ti, la, mi, fa
do, re, la, so, la, la, do, so, ti
do, re, la, so, so, ti, re, do, ti
do, re, mi, do, mi, do, mi, fa, do
do, re, mi, fa, do, fa, re, ti, ti
do, re, mi, fa, fa, so, re, fa, so
do, re, mi, fa, so, so, do, fa, fa
do, re, mi, la, la, la, so, so, ti
do, re, mi, la, so, ti, so, fa, mi
do, re, mi, la, ti, do, do, mi, ti
do, re, mi, la, ti, do, ti, re, mi
do, re, mi, mi, fa, so, fa, ti, ti
do, re, mi, mi, mi, ti, mi, ti, ti
do, re, mi, mi, re, so, do, do, so
do, re, mi, re, mi, mi, fa, ti, ti
do, re, mi, so, do, do, mi, mi, mi
do, re, mi, ti, re, so, so, ti, fa
do, re, mi, ti, ti, do, la, do, do
do, re, mi, ti, ti, so, fa, ti, la
do, re, re, do, do, ti, la, do, la
do, re, re, la, do, so, do, ti, mi
do, re, re, la, fa, re, la, so, re
do, re, re, la, so, so, so, fa, la
do, re, re, mi, do, do, la, fa, so
do, re, re, mi, fa, la, fa, fa, ti
do, re, re, mi, re, do, re, fa, ti
do, re, re, mi, ti, fa, ti, so, la
do, re, re, re, mi, la, do, ti, do
do, re, re, re, mi, re, re, fa, mi
do, re, re, re, so, ti, ti, re, fa
do, re, re, re, ti, do, fa, so, fa
do, re, re, so, mi, fa, re, ti, re
do, re, re, ti, do, do, la, ti, fa
do, re, re, ti, fa, la, mi, re, do
do, re, re, ti, la, do, mi, ti, re
do, re, re, ti, so, mi, la, ti, do
do, re, re, ti, ti, la, do, re, mi
do, re, so, fa, la, la, re, mi, fa
do, re, so, la, do, mi, re, fa, fa
do, re, so, la, la, re, la, fa, re
do, re, so, la, la, ti, re, do, mi
do, re, so, mi, do, ti, la, re, fa
do, re, so, mi, fa, do, do, ti, ti
do, re, so, mi, ti, mi, so, ti, fa
do, re, so, mi, ti, ti, la, fa, fa
do, re, so, re, mi, fa, so, ti, re
do, re, so, so, re, do, ti, re, do
do, re, so, ti, do, fa, mi, so, fa
do, re, so, ti, so, re, do, re, so
do, re, so, ti, ti, la, mi, re, la
do, re, ti, do, fa, re, mi, re, ti
do, re, ti, do, re, ti, re, fa, la
do, re, ti, do, so, re, la, ti, la
do, re, ti, fa, fa, la, ti, so, mi
do, re, ti, fa, re, ti, fa, do, la
do, re, ti, fa, so, mi, ti, fa, la
do, re, ti, la, ti, do, do, fa, do
do, re, ti, la, ti, ti, so, mi, fa
do, re, ti, mi, fa, re, do, re, mi
do, re, ti, mi, re, fa, fa, ti, fa
do, re, ti, so, do, ti, mi, mi, la
do, re, ti, so, so, ti, so, so, la
do, re, ti, so, ti, so, so, fa, re
do, re, ti, ti, fa, do, re, mi, ti
do, re, ti, ti, ti, ti, fa, la, mi
do, so, do, do, la, so, re, mi, so
do, so, do, do, mi, so, mi, so, la
do, so, do, do, ti, fa, so, la, mi
do, so, do, fa, fa, do, fa, ti, la
do, so, do, fa, la, fa, so, do, ti
do, so, do, fa, mi, mi, fa, re, mi
do, so, do, fa, ti, la, re, fa, mi
do, so, do, la, do, do, mi, mi, mi
do, so, do, la, fa, so, la, do, ti
do, so, do, mi, do, la, so, so, mi
do, so, do, re, mi, so, la, mi, mi
do, so, do, so, so, la, re, fa, mi
do, so, fa, do, fa, do, ti, ti, so
do, so, fa, do, fa, la, mi, so, la
do, so, fa, do, ti, la, so, ti, ti
do, so, fa, fa, do, ti, ti, so, mi
do, so, fa, fa, mi, mi, la, do, mi
do, so, fa, la, do, mi, do, mi, la
do, so, fa, la, do, re, la, re, la
do, so, fa, la, fa, so, la, fa, do
do, so, fa, la, la, fa, mi, fa, re
do, so, fa, la, la, fa, re, ti, la
do, so, fa, la, ti, so, so, mi, la
do, so, fa, mi, so, mi, la, la, so
do, so, fa, re, fa, la, so, mi, do
do, so, fa, re, la, ti, mi, ti, mi
do, so, fa, re, re, mi, mi, so, do
do, so, fa, so, do, re, do, so, re
do, so, fa, so, do, so, fa, re, re
do, so, fa, ti, re, fa, fa, fa, fa
do, so, fa, ti, ti, re, la, ti, ti
do, so, la, do, do, fa, fa, fa, do
do, so, la, do, do, fa, re, do, re
do, so, la, do, do, ti, la, fa, la
do, so, la, do, la, mi, fa, do, fa
do, so, la, fa, mi, ti, so, la, re
do, so, la, fa, ti, re, la, fa, fa
do, so, la, la, do, la, la, re, la
do, so, la, la, mi, re, ti, ti, so
do, so, la, la, re, so, so, la, fa
do, so, la, la, so, fa, so, fa, do
do, so, la, mi, mi, do, re, la, re
do, so, la, mi, re, do, fa, fa, re
do, so, la, re, do, re, ti, mi, la
do, so, la, re, do, ti, mi, ti, so
do, so, la, re, fa, so, re, ti, ti
do, so, la, so, fa, re, la, fa, fa
do, so, la, so, la, re, mi, la, mi
do, so, la, so, so, fa, ti, ti, ti
do, so, la, so, so, so, la, fa, mi
do, so, la, so, ti, ti, ti, fa, la
do, so, mi, do, la, ti, so, do, la
do, so, mi, do, re, fa, ti, fa, do
do, so, mi, fa, do, do, do, so, re
do, so, mi, fa, re, re, mi, do, so
do, so, mi, fa, so, do, fa, fa, re
do, so, mi, fa, so, so, ti, fa, mi
do, so, mi, la, mi, la, la, fa, mi
do, so, mi, la, so, re, la, la, do
do, so, mi, la, ti, fa, re, fa, so
do, so, mi, mi, ti, la, re, ti, ti
do, so, mi, re, re, ti, fa, re, mi
do, so, mi, so, do, fa, ti, do, mi
do, so, mi, so, la, so, fa, la, do
do, so, re, do, do, do, ti, ti, do
do, so, re, fa, do, re, re, do, mi
do, so, re, fa, so, fa, so, do, fa
do, so, re, fa, so, fa, ti, so, do
do, so, re, la, fa, re, fa, ti, re
do, so, re, la, fa, so, do, re, do
do, so, re, mi, do, do, so, la, la
do, so, re, mi, mi, mi, mi, la, mi
do, so, re, mi, re, ti, ti, fa, fa
do, so, re, re, do, fa, re, so, do
do, so, re, re, fa, so, do, ti, mi
do, so, re, so, fa, la, fa, do, la
do, so, re, so, la, mi, mi, re, re
do, so, re, so, ti, re, mi, do, ti
do, so, re, ti, fa, mi, so, la, mi
do, so, re, ti, ti, do, re, ti, fa
do, so, so, fa, fa, do, re, mi, fa
do, so, so, fa, mi, do, la, fa, so
do, so, so, fa, so, fa, la, ti, re
do, so, so, la, la, so, fa, so, fa
do, so, so, la, la, ti, re, mi, ti
do, so, so, la, ti, ti, do, re, mi
do, so, so, mi, fa, la, do, mi, ti
do, so, so, re, so, so, so, fa, do
do, so, so, ti, do, la, la, ti, mi
do, so, so, ti, fa, so, do, re, mi
do, so, so, ti, mi, mi, fa, do, so
do, so, ti, do, mi, so, fa, so, fa
do, so, ti, la, fa, so, re, ti, la
do, so, ti, la, mi, fa, mi, re, ti
do, so, ti, mi, fa, fa, do, so, ti
do, so, ti, mi, ti, la, ti, re, la
do, so, ti, re, ti, re, mi, mi, re
do, so, ti, so, so, do, mi, fa, do
do, so, ti, ti, la, fa, do, mi, mi
do, so, ti, ti, re, do, do, re, so
do, ti, do, do, mi, fa, la, mi, fa
do, ti, do, fa, do, ti, re, so, mi
do, ti, do, mi, do, ti, fa, do, ti
do, ti, do, mi, fa, so, re, so, mi
do, ti, do, mi, la, do, ti, mi, do
do, ti, do, mi, so, la, so, mi, ti
do, ti, do, so, la, fa, do, so, ti
do, ti, do, so, mi, ti, ti, ti, mi
do, ti, do, so, ti, fa, ti, mi, ti
do, ti, do, ti, do, mi, ti, so, do
do, ti, fa, do, do, mi, la, do, la
do, ti, fa, do, re, la, re, ti, fa
do, ti, fa, fa, do, so, la, ti, do
do, ti, fa, fa, mi, la, mi, so, mi
do, ti, fa, fa, mi, mi, fa, ti, la
do, ti, fa, la, la, ti, ti, fa, ti
do, ti, fa, so, mi, ti, mi, so, la
do, ti, fa, so, re, mi, re, do, so
do, ti, fa, so, ti, fa, fa, ti, fa
do, ti, fa, so, ti, re, mi, so, mi
do, ti, la, do, do, re, la, do, do
do, ti, la, do, fa, la, ti, mi, la
do, ti, la, do, re, ti, re, re, mi
do, ti, la, fa, do, mi, mi, do, do
do, ti, la, fa, la, re, la, mi, fa
do, ti, la, fa, ti, fa, re, do, mi
do, ti, la, la, do, do, so, re, re
do, ti, la, la, la, do, fa, fa, re
do, ti, la, la, la, la, re, la, ti
do, ti, la, la, re, do, re, so, ti
do, ti, la, la, re, so, ti, so, ti
do, ti, la, re, fa, la, re, do, re
do, ti, la, re, fa, re, mi, la, la
do, ti, la, re, re, fa, do, so, re
do, ti, la, so, fa, mi, do, fa, so
do, ti, la, ti, so, do, ti, re, fa
do, ti, mi, do, ti, ti, ti, so, mi
do, ti, mi, fa, so, mi, mi, fa, la
