do, do, do, do
la, fa, do, re
la, fa, do, so
la, fa, do, ti
la, fa, fa, do
la, fa, fa, fa
la, fa, fa, la
la, fa, fa, mi
la, fa, fa, re
la, fa, fa, ti
la, fa, la, fa
la, fa, la, la
la, fa, la, mi
la, fa, la, ti
la, fa, mi, do
la, fa, mi, fa
la, fa, mi, la
la, fa, mi, re
la, fa, mi, so
la, fa, mi, ti
la, fa, re, do
la, fa, re, fa
la, fa, re, la
la, fa, re, mi
la, fa, re, re
la, fa, re, ti
la, fa, so, do
la, fa, so, fa
la, fa, so, la
la, fa, so, mi
la, fa, so, re
la, fa, so, so
la, fa, so, ti
la, fa, ti, do
la, fa, ti, fa
la, fa, ti, la
la, fa, ti, re
la, fa, ti, so
la, fa, ti, ti
la, la, do, do
la, la, do, fa
la, la, do, la
la, la, do, mi
la, la, do, re
la, la, do, so
la, la, do, ti
la, la, fa, fa
la, la, fa, la
la, la, fa, mi
la, la, fa, re
la, la, fa, so
la, la, fa, ti
la, la, la, fa
la, la, la, la
la, la, la, mi
la, la, la, re
la, la, la, so
la, la, la, ti
la, la, mi, do
la, la, mi, fa
la, la, mi, la
la, la, mi, so
la, la, mi, ti
la, la, re, do
la, la, re, fa
la, la, re, la
la, la, re, re
la, la, re, so
la, la, re, ti
la, la, so, fa
la, la, so, la
la, la, so, mi
la, la, so, so
la, la, so, ti
la, la, ti, do
la, la, ti, fa
la, la, ti, la
la, la, ti, mi
la, la, ti, re
la, la, ti, so
la, la, ti, ti
la, mi, do, do
la, mi, do, fa
la, mi, do, la
la, mi, do, mi
la, mi, do, re
la, mi, do, so
la, mi, do, ti
la, mi, fa, do
la, mi, fa, fa
la, mi, fa, mi
la, mi, fa, so
la, mi, la, do
la, mi, la, fa
la, mi, la, la
la, mi, la, mi
la, mi, la, re
la, mi, la, so
la, mi, la, ti
la, mi, mi, do
la, mi, mi, fa
la, mi, mi, la
la, mi, mi, mi
la, mi, mi, re
la, mi, mi, so
la, mi, mi, ti
la, mi, re, fa
la, mi, re, la
la, mi, re, mi
la, mi, re, re
la, mi, re, so
la, mi, re, ti
la, mi, so, do
la, mi, so, fa
la, mi, so, la
la, mi, so, mi
la, mi, so, re
la, mi, so, so
la, mi, so, ti
la, mi, ti, do
la, mi, ti, mi
la, mi, ti, so
la, mi, ti, ti
la, re, do, do
la, re, do, fa
la, re, do, la
la, re, do, mi
la, re, do, re
la, re, do, so
la, re, fa, do
la, re, fa, fa
la, re, fa, mi
la, re, fa, re
la, re, fa, so
la, re, fa, ti
la, re, la, do
la, re, la, fa
la, re, la, la
la, re, la, mi
la, re, la, re
la, re, la, ti
la, re, mi, do
la, re, mi, fa
la, re, mi, la
la, re, mi, mi
la, re, mi, re
la, re, mi, so
la, re, mi, ti
la, re, re, do
la, re, re, la
la, re, re, mi
la, re, re, re
la, re, so, do
la, re, so, fa
la, re, so, la
la, re, so, mi
la, re, so, re
la, re, so, so
la, re, so, ti
la, re, ti, do
la, re, ti, fa
la, re, ti, la
la, re, ti, mi
la, re, ti, re
la, re, ti, so
la, re, ti, ti
la, so, do, do
la, so, do, la
la, so, do, mi
la, so, do, re
la, so, do, so
la, so, do, ti
la, so, fa, do
la, so, fa, fa
la, so, fa, la
la, so, fa, mi
la, so, fa, so
la, so, fa, ti
la, so, la, la
la, so, la, mi
la, so, la, re
la, so, la, so
la, so, la, ti
la, so, mi, do
la, so, mi, fa
la, so, mi, la
la, so, mi, mi
la, so, mi, re
la, so, mi, so
la, so, mi, ti
la, so, re, do
la, so, re, fa
la, so, re, la
la, so, re, mi
la, so, re, re
la, so, re, so
la, so, re, ti
la, so, so, do
la, so, so, fa
la, so, so, la
la, so, so, mi
la, so, so, re
la, so, so, so
la, so, so, ti
la, so, ti, fa
la, so, ti, re
la, so, ti, so
la, so, ti, ti
la, ti, do, do
la, ti, do, fa
la, ti, do, la
la, ti, do, mi
la, ti, do, re
la, ti, do, so
la, ti, do, ti
la, ti, fa, la
la, ti, fa, mi
la, ti, fa, re
la, ti, fa, ti
la, ti, la, do
la, ti, la, fa
la, ti, la, la
la, ti, la, mi
la, ti, la, re
la, ti, la, so
la, ti, la, ti
la, ti, mi, fa
la, ti, mi, la
la, ti, mi, mi
la, ti, mi, re
la, ti, mi, so
la, ti, mi, ti
la, ti, re, do
la, ti, re, fa
la, ti, re, la
la, ti, re, mi
la, ti, re, re
la, ti, re, so
la, ti, re, ti
la, ti, so, fa
la, ti, so, la
la, ti, so, mi
la, ti, so, re
la, ti, so, ti
la, ti, ti, do
la, ti, ti, fa
la, ti, ti, la
la, ti, ti, mi
la, ti, ti, re
la, ti, ti, so
la, ti, ti, ti
mi, do, do, do
mi, do, do, fa
mi, do, do, la
mi, do, do, mi
mi, do, do, re
mi, do, do, so
mi, do, do, ti
mi, do, fa, do
mi, do, fa, fa
mi, do, fa, la
mi, do, fa, mi
mi, do, fa, re
mi, do, fa, so
mi, do, fa, ti
mi, do, la, fa
mi, do, la, la
mi, do, la, mi
mi, do, la, re
mi, do, la, so
mi, do, la, ti
mi, do, mi, do
mi, do, mi, fa
mi, do, mi, la
mi, do, mi, mi
mi, do, mi, re
mi, do, mi, ti
mi, do, re, fa
mi, do, re, la
mi, do, re, mi
mi, do, re, re
mi, do, re, ti
mi, do, so, do
mi, do, so, fa
mi, do, so, la
mi, do, so, mi
mi, do, so, re
mi, do, so, so
mi, do, so, ti
mi, do, ti, do
mi, do, ti, fa
mi, do, ti, la
mi, do, ti, mi
mi, do, ti, re
mi, do, ti, so
mi, do, ti, ti
mi, fa, do, do
mi, fa, do, fa
mi, fa, do, la
mi, fa, do, mi
mi, fa, do, so
mi, fa, do, ti
mi, fa, fa, do
mi, fa, fa, fa
mi, fa, fa, la
mi, fa, fa, mi
mi, fa, fa, so
mi, fa, fa, ti
mi, fa, la, do
mi, fa, la, fa
mi, fa, la, la
mi, fa, la, mi
mi, fa, la, re
mi, fa, la, so
mi, fa, la, ti
mi, fa, mi, do
mi, fa, mi, fa
mi, fa, mi, la
mi, fa, mi, mi
mi, fa, mi, re
mi, fa, re, do
mi, fa, re, fa
mi, fa, re, la
mi, fa, re, mi
mi, fa, re, re
mi, fa, re, so
mi, fa, so, do
mi, fa, so, fa
mi, fa, so, la
mi, fa, so, mi
mi, fa, so, re
mi, fa, so, ti
mi, fa, ti, do
mi, fa, ti, fa
mi, fa, ti, la
mi, fa, ti, mi
mi, fa, ti, re
mi, fa, ti, so
mi, fa, ti, ti
mi, la, do, do
mi, la, do, fa
mi, la, do, mi
mi, la, do, re
mi, la, do, ti
mi, la, fa, do
mi, la, fa, fa
mi, la, fa, la
mi, la, fa, mi
mi, la, fa, re
mi, la, fa, so
mi, la, fa, ti
mi, la, la, do
mi, la, la, fa
mi, la, la, la
mi, la, la, mi
mi, la, la, re
mi, la, la, so
mi, la, la, ti
mi, la, mi, do
mi, la, mi, fa
mi, la, mi, la
mi, la, mi, mi
mi, la, mi, re
mi, la, mi, so
mi, la, mi, ti
mi, la, re, do
mi, la, re, la
mi, la, re, mi
mi, la, re, re
mi, la, re, so
mi, la, so, fa
mi, la, so, la
mi, la, so, mi
mi, la, so, re
mi, la, so, so
mi, la, so, ti
mi, la, ti, do
mi, la, ti, fa
mi, la, ti, mi
mi, la, ti, re
mi, la, ti, so
mi, la, ti, ti
mi, mi, do, do
mi, mi, do, fa
mi, mi, do, la
mi, mi, do, mi
mi, mi, do, re
mi, mi, do, so
mi, mi, do, ti
mi, mi, fa, do
mi, mi, fa, fa
mi, mi, fa, la
mi, mi, fa, mi
mi, mi, fa, re
mi, mi, fa, so
mi, mi, fa, ti
mi, mi, la, do
mi, mi, la, fa
mi, mi, la, la
mi, mi, la, mi
mi, mi, la, re
mi, mi, la, so
mi, mi, la, ti
mi, mi, mi, do
mi, mi, mi, fa
mi, mi, mi, la
mi, mi, mi, re
mi, mi, re, do
mi, mi, re, fa
mi, mi, re, mi
mi, mi, re, re
mi, mi, re, so
mi, mi, re, ti
mi, mi, so, do
mi, mi, so, fa
mi, mi, so, la
mi, mi, so, mi
mi, mi, so, re
mi, mi, so, so
mi, mi, so, ti
mi, mi, ti, fa
mi, mi, ti, la
mi, mi, ti, mi
mi, mi, ti, ti
mi, re, do, do
mi, re, do, fa
mi, re, do, la
mi, re, do, mi
mi, re, do, so
mi, re, do, ti
mi, re, fa, do
mi, re, fa, fa
mi, re, fa, la
mi, re, fa, mi
mi, re, fa, so
mi, re, fa, ti
mi, re, la, fa
mi, re, la, la
mi, re, la, mi
mi, re, la, so
mi, re, la, ti
mi, re, mi, do
mi, re, mi, fa
mi, re, mi, mi
mi, re, mi, re
mi, re, re, do
mi, re, re, fa
mi, re, re, la
mi, re, re, mi
mi, re, re, re
mi, re, re, so
mi, re, re, ti
mi, re, so, do
mi, re, so, fa
mi, re, so, la
mi, re, so, mi
mi, re, so, re
mi, re, ti, do
mi, re, ti, fa
mi, re, ti, mi
mi, re, ti, re
mi, re, ti, so
mi, re, ti, ti
mi, so, do, do
mi, so, do, fa
mi, so, do, la
mi, so, do, mi
mi, so, do, re
mi, so, do, so
mi, so, do, ti
mi, so, fa, do
mi, so, fa, fa
mi, so, fa, la
mi, so, fa, mi
mi, so, fa, re
mi, so, fa, so
mi, so, fa, ti
mi, so, la, do
mi, so, la, fa
mi, so, la, la
mi, so, la, re
mi, so, la, so
mi, so, la, ti
mi, so, mi, fa
mi, so, mi, la
mi, so, mi, re
mi, so, mi, so
mi, so, re, do
mi, so, re, fa
mi, so, re, la
mi, so, re, re
mi, so, re, so
mi, so, re, ti
mi, so, so, do
mi, so, so, fa
mi, so, so, la
mi, so, so, mi
mi, so, so, re
mi, so, so, so
mi, so, so, ti
mi, so, ti, fa
mi, so, ti, la
mi, so, ti, re
mi, so, ti, so
mi, so, ti, ti
mi, ti, do, do
mi, ti, do, fa
mi, ti, do, la
mi, ti, do, mi
mi, ti, do, re
mi, ti, do, ti
mi, ti, fa, do
mi, ti, fa, fa
mi, ti, fa, la
mi, ti, fa, mi
mi, ti, fa, re
mi, ti, fa, so
mi, ti, fa, ti
mi, ti, la, do
mi, ti, la, fa
mi, ti, la, la
mi, ti, la, mi
mi, ti, la, re
mi, ti, la, so
mi, ti, la, ti
mi, ti, mi, do
mi, ti, mi, fa
mi, ti, mi, la
mi, ti, mi, mi
mi, ti, mi, so
mi, ti, mi, ti
mi, ti, re, do
mi, ti, re, fa
mi, ti, re, la
mi, ti, re, mi
mi, ti, re, re
mi, ti, re, so
mi, ti, re, ti
mi, ti, so, do
mi, ti, so, fa
mi, ti, so, la
mi, ti, so, mi
mi, ti, so, re
mi, ti, so, so
mi, ti, so, ti
mi, ti, ti, do
mi, ti, ti, la
mi, ti, ti, mi
mi, ti, ti, re
mi, ti, ti, so
mi, ti, ti, ti
re, do, do, do
re, do, do, fa
re, do, do, la
re, do, do, mi
re, do, do, re
re, do, do, ti
re, do, fa, do
re, do, fa, la
re, do, fa, mi
re, do, fa, re
re, do, fa, so
re, do, fa, ti
re, do, la, do
re, do, la, fa
re, do, la, la
re, do, la, re
re, do, la, so
re, do, la, ti
re, do, mi, do
re, do, mi, fa
re, do, mi, la
re, do, mi, mi
re, do, mi, re
re, do, mi, so
re, do, mi, ti
re, do, re, do
re, do, re, fa
re, do, re, la
re, do, re, re
re, do, re, so
re, do, re, ti
re, do, so, do
re, do, so, fa
re, do, so, la
re, do, so, mi
re, do, so, re
re, do, so, so
re, do, ti, do
re, do, ti, fa
re, do, ti, la
re, do, ti, re
re, do, ti, so
re, do, ti, ti
re, fa, do, fa
re, fa, do, la
re, fa, do, mi
re, fa, do, re
re, fa, do, ti
re, fa, fa, do
re, fa, fa, fa
re, fa, fa, la
re, fa, fa, mi
re, fa, fa, re
re, fa, fa, so
re, fa, fa, ti
re, fa, la, do
re, fa, la, fa
re, fa, la, la
re, fa, la, mi
re, fa, la, re
re, fa, la, so
re, fa, la, ti
re, fa, mi, do
re, fa, mi, fa
re, fa, mi, la
re, fa, mi, re
re, fa, mi, so
re, fa, re, do
re, fa, re, la
re, fa, re, mi
re, fa, re, re
re, fa, re, so
re, fa, re, ti
re, fa, so, do
re, fa, so, fa
re, fa, so, la
re, fa, so, mi
re, fa, so, re
re, fa, so, so
re, fa, ti, do
re, fa, ti, fa
re, fa, ti, la
re, fa, ti, mi
re, fa, ti, re
re, fa, ti, so
re, fa, ti, ti
re, la, do, fa
re, la, do, la
re, la, do, mi
re, la, do, re
re, la, do, so
re, la, do, ti
re, la, fa, fa
re, la, fa, la
re, la, fa, mi
re, la, fa, re
re, la, fa, so
re, la, fa, ti
re, la, la, do
re, la, la, fa
re, la, la, mi
re, la, la, re
re, la, la, so
re, la, la, ti
re, la, mi, do
re, la, mi, fa
re, la, mi, la
re, la, mi, mi
re, la, mi, re
re, la, mi, so
re, la, mi, ti
re, la, re, do
re, la, re, fa
re, la, re, la
re, la, re, mi
re, la, re, re
re, la, re, ti
re, la, so, do
re, la, so, mi
re, la, so, re
re, la, so, so
re, la, so, ti
re, la, ti, do
re, la, ti, fa
re, la, ti, mi
re, la, ti, re
re, la, ti, so
re, mi, do, do
re, mi, do, la
re, mi, do, mi
re, mi, do, re
re, mi, do, ti
re, mi, fa, do
re, mi, fa, fa
re, mi, fa, la
re, mi, fa, mi
re, mi, fa, re
re, mi, fa, so
re, mi, fa, ti
re, mi, la, do
re, mi, la, fa
re, mi, la, la
re, mi, la, mi
re, mi, la, re
re, mi, la, so
re, mi, la, ti
re, mi, mi, fa
re, mi, mi, la
re, mi, mi, mi
re, mi, mi, re
re, mi, mi, so
re, mi, mi, ti
re, mi, re, do
re, mi, re, fa
re, mi, re, la
re, mi, re, re
re, mi, re, so
re, mi, re, ti
re, mi, so, do
re, mi, so, fa
re, mi, so, mi
re, mi, so, re
re, mi, so, so
re, mi, so, ti
re, mi, ti, fa
re, mi, ti, la
re, mi, ti, so
re, mi, ti, ti
re, re, do, do
re, re, do, fa
re, re, do, la
re, re, do, re
re, re, do, so
re, re, do, ti
re, re, fa, do
re, re, fa, fa
re, re, fa, la
re, re, fa, mi
re, re, fa, re
re, re, fa, so
re, re, fa, ti
re, re, la, do
re, re, la, fa
re, re, la, la
re, re, la, mi
re, re, la, re
re, re, la, so
re, re, la, ti
re, re, mi, do
re, re, mi, la
re, re, mi, mi
re, re, mi, so
re, re, mi, ti
re, re, re, do
re, re, re, fa
re, re, re, la
re, re, re, re
re, re, re, so
re, re, re, ti
re, re, so, do
re, re, so, fa
re, re, so, mi
re, re, so, re
re, re, so, so
re, re, so, ti
re, re, ti, do
re, re, ti, fa
re, re, ti, la
re, re, ti, mi
re, re, ti, re
re, re, ti, so
re, re, ti, ti
re, so, do, do
re, so, do, fa
re, so, do, la
re, so, do, mi
re, so, do, re
re, so, do, so
re, so, do, ti
re, so, fa, do
re, so, fa, fa
re, so, fa, la
re, so, fa, mi
re, so, fa, re
re, so, fa, so
re, so, fa, ti
re, so, la, do
re, so, la, fa
re, so, la, la
re, so, la, mi
re, so, la, re
re, so, la, so
re, so, la, ti
re, so, mi, fa
re, so, mi, la
re, so, mi, mi
re, so, mi, re
re, so, mi, so
re, so, mi, ti
re, so, re, do
re, so, re, fa
re, so, re, la
re, so, re, mi
re, so, re, re
re, so, re, so
