do, do, do, fa, la
do, so, la, do, ti
do, so, la, fa, fa
do, so, la, fa, la
do, so, la, fa, re
do, so, la, la, la
do, so, la, la, so
do, so, la, re, fa
do, so, la, re, mi
do, so, la, re, ti
do, so, la, so, so
do, so, la, ti, la
do, so, la, ti, mi
do, so, la, ti, re
do, so, mi, do, mi
do, so, mi, do, re
do, so, mi, do, so
do, so, mi, fa, fa
do, so, mi, fa, mi
do, so, mi, la, mi
do, so, mi, la, so
do, so, mi, mi, do
do, so, mi, mi, la
do, so, mi, mi, re
do, so, mi, re, fa
do, so, mi, re, re
do, so, mi, so, la
do, so, mi, so, ti
do, so, mi, ti, la
do, so, mi, ti, re
do, so, re, do, do
do, so, re, do, fa
do, so, re, do, la
do, so, re, do, mi
do, so, re, fa, do
do, so, re, fa, re
do, so, re, fa, so
do, so, re, la, do
do, so, re, la, fa
do, so, re, la, mi
do, so, re, so, mi
do, so, re, ti, fa
do, so, re, ti, la
do, so, re, ti, mi
do, so, re, ti, re
do, so, re, ti, ti
do, so, so, do, re
do, so, so, do, so
do, so, so, fa, re
do, so, so, la, do
do, so, so, la, re
do, so, so, mi, mi
do, so, so, mi, ti
do, so, so, so, so
do, so, so, ti, fa
do, so, so, ti, la
do, so, so, ti, re
do, so, so, ti, so
do, so, so, ti, ti
do, so, ti, do, la
do, so, ti, fa, so
do, so, ti, fa, ti
do, so, ti, la, re
do, so, ti, mi, do
do, so, ti, mi, fa
do, so, ti, so, so
do, so, ti, so, ti
do, ti, do, do, re
do, ti, do, do, so
do, ti, do, fa, la
do, ti, do, fa, re
do, ti, do, la, so
do, ti, do, re, fa
do, ti, do, re, la
do, ti, do, re, mi
do, ti, do, re, re
do, ti, do, so, re
do, ti, do, so, ti
do, ti, do, ti, re
do, ti, do, ti, so
do, ti, fa, do, do
do, ti, fa, do, fa
do, ti, fa, fa, la
do, ti, fa, la, fa
do, ti, fa, mi, fa
do, ti, fa, mi, la
do, ti, fa, re, do
do, ti, fa, re, fa
do, ti, fa, re, la
do, ti, fa, re, mi
do, ti, fa, so, re
do, ti, fa, so, so
do, ti, fa, ti, fa
do, ti, la, do, do
do, ti, la, do, la
do, ti, la, do, re
do, ti, la, fa, fa
do, ti, la, fa, so
do, ti, la, fa, ti
do, ti, la, la, la
do, ti, la, la, mi
do, ti, la, mi, ti
do, ti, la, re, mi
do, ti, la, re, re
do, ti, la, re, so
do, ti, la, re, ti
do, ti, la, so, do
do, ti, la, ti, do
do, ti, la, ti, re
do, ti, la, ti, ti
do, ti, mi, do, fa
do, ti, mi, fa, do
do, ti, mi, la, do
do, ti, mi, la, mi
do, ti, mi, la, ti
do, ti, mi, mi, do
do, ti, mi, mi, so
do, ti, mi, so, la
do, ti, mi, so, ti
do, ti, mi, ti, so
do, ti, mi, ti, ti
do, ti, re, do, do
do, ti, re, do, fa
do, ti, re, do, la
do, ti, re, do, ti
do, ti, re, fa, fa
do, ti, re, fa, re
do, ti, re, la, la
do, ti, re, mi, re
do, ti, re, re, la
do, ti, re, re, re
do, ti, re, re, so
do, ti, re, so, la
do, ti, re, so, re
do, ti, re, ti, la
do, ti, re, ti, re
do, ti, so, do, do
do, ti, so, do, so
do, ti, so, fa, fa
do, ti, so, fa, la
do, ti, so, fa, re
do, ti, so, la, do
do, ti, so, la, so
do, ti, so, mi, la
do, ti, so, mi, re
do, ti, so, mi, ti
do, ti, so, re, fa
do, ti, ti, do, do
do, ti, ti, fa, do
do, ti, ti, fa, la
do, ti, ti, fa, mi
do, ti, ti, fa, re
do, ti, ti, fa, ti
do, ti, ti, re, so
do, ti, ti, so, do
do, ti, ti, so, fa
do, ti, ti, so, mi
do, ti, ti, ti, do
do, ti, ti, ti, fa
do, ti, ti, ti, mi
do, ti, ti, ti, so
do, ti, ti, ti, ti
fa, do, do, do, re
fa, do, do, do, ti
fa, do, do, fa, do
fa, do, do, fa, re
fa, do, do, la, do
fa, do, do, la, la
fa, do, do, mi, la
fa, do, do, re, re
fa, do, do, re, so
fa, do, do, ti, mi
fa, do, fa, fa, ti
fa, do, fa, la, fa
fa, do, fa, la, so
fa, do, fa, mi, mi
fa, do, fa, mi, so
fa, do, fa, re, do
fa, do, fa, so, fa
fa, do, fa, ti, fa
fa, do, fa, ti, la
fa, do, fa, ti, so
fa, do, la, do, do
fa, do, la, do, fa
fa, do, la, do, la
fa, do, la, fa, mi
fa, do, la, la, mi
fa, do, la, mi, la
fa, do, la, mi, ti
fa, do, la, re, mi
fa, do, la, re, re
fa, do, la, ti, do
fa, do, la, ti, mi
fa, do, la, ti, so
fa, do, la, ti, ti
fa, do, mi, do, mi
fa, do, mi, do, ti
fa, do, mi, fa, re
fa, do, mi, la, re
fa, do, mi, mi, do
fa, do, mi, mi, fa
fa, do, mi, mi, la
fa, do, mi, mi, mi
fa, do, mi, re, fa
fa, do, mi, re, mi
fa, do, mi, so, fa
fa, do, mi, so, mi
fa, do, mi, so, so
fa, do, mi, ti, ti
fa, do, re, do, do
fa, do, re, do, re
fa, do, re, do, so
fa, do, re, fa, so
fa, do, re, la, mi
fa, do, re, la, re
fa, do, re, la, ti
fa, do, re, mi, do
fa, do, re, mi, la
fa, do, re, mi, mi
fa, do, re, mi, so
fa, do, re, re, fa
fa, do, re, so, la
fa, do, re, so, so
fa, do, re, so, ti
fa, do, re, ti, mi
fa, do, re, ti, re
fa, do, re, ti, ti
fa, do, so, do, do
fa, do, so, do, mi
fa, do, so, do, re
fa, do, so, do, so
fa, do, so, fa, re
fa, do, so, la, fa
fa, do, so, la, la
fa, do, so, mi, do
fa, do, so, mi, ti
fa, do, so, re, la
fa, do, so, re, mi
fa, do, so, re, re
fa, do, so, so, re
fa, do, so, so, so
fa, do, so, ti, ti
fa, do, ti, do, la
fa, do, ti, do, ti
fa, do, ti, la, la
fa, do, ti, la, so
fa, do, ti, la, ti
fa, do, ti, re, do
fa, do, ti, re, re
fa, do, ti, re, so
fa, do, ti, so, la
fa, do, ti, so, re
fa, do, ti, ti, so
fa, do, ti, ti, ti
fa, fa, do, do, do
fa, fa, do, do, fa
fa, fa, do, do, so
fa, fa, do, fa, do
fa, fa, do, la, so
fa, fa, do, la, ti
fa, fa, do, mi, do
fa, fa, do, mi, ti
fa, fa, do, re, la
fa, fa, do, re, re
fa, fa, do, re, so
fa, fa, do, so, do
fa, fa, do, so, la
fa, fa, fa, do, re
fa, fa, fa, do, so
fa, fa, fa, fa, so
fa, fa, fa, la, do
fa, fa, fa, la, la
fa, fa, fa, la, mi
fa, fa, fa, la, re
fa, fa, fa, la, so
fa, fa, fa, mi, fa
fa, fa, fa, mi, mi
fa, fa, fa, mi, ti
fa, fa, fa, re, mi
fa, fa, fa, re, so
fa, fa, fa, re, ti
fa, fa, fa, so, do
fa, fa, fa, so, fa
fa, fa, fa, so, la
fa, fa, fa, so, mi
fa, fa, fa, ti, fa
fa, fa, la, do, fa
fa, fa, la, do, la
fa, fa, la, do, so
fa, fa, la, do, ti
fa, fa, la, fa, la
fa, fa, la, fa, re
fa, fa, la, la, do
fa, fa, la, la, fa
fa, fa, la, la, so
fa, fa, la, mi, mi
fa, fa, la, mi, re
fa, fa, la, re, mi
fa, fa, la, so, fa
fa, fa, la, so, re
fa, fa, la, so, ti
fa, fa, la, ti, mi
fa, fa, mi, do, do
fa, fa, mi, do, fa
fa, fa, mi, fa, mi
fa, fa, mi, la, re
fa, fa, mi, la, so
fa, fa, mi, mi, la
fa, fa, re, do, la
fa, fa, re, do, ti
fa, fa, re, fa, do
fa, fa, re, la, do
fa, fa, re, la, la
fa, fa, re, la, re
fa, fa, re, la, ti
fa, fa, re, mi, fa
fa, fa, re, mi, mi
fa, fa, re, re, do
fa, fa, re, so, do
fa, fa, re, so, la
fa, fa, re, ti, do
fa, fa, re, ti, mi
fa, fa, re, ti, so
fa, fa, so, do, so
fa, fa, so, fa, do
fa, fa, so, fa, mi
fa, fa, so, la, mi
fa, fa, so, la, re
fa, fa, so, mi, do
fa, fa, so, mi, la
fa, fa, so, mi, mi
fa, fa, so, re, so
fa, fa, so, so, do
fa, fa, so, so, mi
fa, fa, so, so, so
fa, fa, so, ti, fa
fa, fa, so, ti, ti
fa, fa, ti, do, mi
fa, fa, ti, la, re
fa, fa, ti, la, so
fa, fa, ti, la, ti
fa, fa, ti, mi, do
fa, fa, ti, mi, la
fa, fa, ti, mi, re
fa, fa, ti, re, fa
fa, fa, ti, re, re
fa, fa, ti, so, fa
fa, fa, ti, so, la
fa, fa, ti, so, so
fa, fa, ti, so, ti
fa, fa, ti, ti, do
fa, la, do, do, do
fa, la, do, do, la
fa, la, do, do, mi
fa, la, do, do, re
fa, la, do, fa, do
fa, la, do, mi, do
fa, la, do, mi, fa
fa, la, do, mi, la
fa, la, do, re, do
fa, la, do, re, mi
fa, la, do, so, do
fa, la, do, so, fa
fa, la, do, so, la
fa, la, do, so, so
fa, la, do, ti, la
fa, la, fa, do, la
fa, la, fa, do, so
fa, la, fa, fa, do
fa, la, fa, fa, la
fa, la, fa, fa, mi
fa, la, fa, la, do
fa, la, fa, la, re
fa, la, fa, la, ti
fa, la, fa, mi, do
fa, la, fa, mi, la
fa, la, fa, mi, re
fa, la, fa, re, do
fa, la, fa, re, la
fa, la, fa, so, fa
fa, la, fa, so, la
fa, la, fa, so, re
fa, la, fa, so, so
fa, la, fa, so, ti
fa, la, la, fa, fa
fa, la, la, la, la
fa, la, la, la, so
fa, la, la, mi, do
fa, la, la, re, do
fa, la, la, re, fa
fa, la, la, re, so
fa, la, la, ti, so
fa, la, la, ti, ti
fa, la, mi, do, do
fa, la, mi, do, la
fa, la, mi, do, mi
fa, la, mi, do, so
fa, la, mi, fa, fa
fa, la, mi, fa, mi
fa, la, mi, la, mi
fa, la, mi, la, ti
fa, la, mi, mi, fa
fa, la, mi, mi, mi
fa, la, mi, mi, ti
fa, la, mi, re, fa
fa, la, mi, so, la
fa, la, mi, so, so
fa, la, mi, ti, re
fa, la, mi, ti, so
fa, la, re, do, do
fa, la, re, do, la
fa, la, re, do, re
fa, la, re, do, ti
fa, la, re, fa, mi
fa, la, re, fa, so
fa, la, re, fa, ti
fa, la, re, la, do
fa, la, re, la, fa
fa, la, re, la, mi
fa, la, re, la, re
fa, la, re, la, so
fa, la, re, mi, mi
fa, la, re, mi, ti
fa, la, re, re, do
fa, la, re, re, fa
fa, la, re, so, fa
fa, la, re, so, mi
fa, la, re, so, ti
fa, la, so, do, so
fa, la, so, fa, ti
fa, la, so, mi, do
fa, la, so, mi, mi
fa, la, so, mi, re
fa, la, so, so, fa
fa, la, so, so, so
fa, la, so, ti, do
fa, la, ti, do, fa
fa, la, ti, do, la
fa, la, ti, do, re
fa, la, ti, fa, re
fa, la, ti, la, ti
fa, la, ti, mi, fa
fa, la, ti, mi, la
fa, la, ti, re, do
fa, la, ti, re, fa
fa, la, ti, re, ti
fa, la, ti, so, ti
fa, la, ti, ti, do
fa, la, ti, ti, mi
fa, la, ti, ti, ti
fa, mi, do, do, do
fa, mi, do, do, re
fa, mi, do, fa, do
fa, mi, do, fa, mi
fa, mi, do, mi, do
fa, mi, do, mi, fa
fa, mi, do, mi, la
fa, mi, do, mi, ti
fa, mi, do, re, mi
fa, mi, do, re, re
fa, mi, do, re, so
fa, mi, do, so, so
fa, mi, do, ti, do
fa, mi, do, ti, re
fa, mi, fa, do, do
fa, mi, fa, do, mi
fa, mi, fa, fa, do
fa, mi, fa, fa, mi
fa, mi, fa, la, do
fa, mi, fa, la, re
fa, mi, fa, mi, do
fa, mi, fa, re, do
fa, mi, fa, re, fa
fa, mi, fa, so, re
fa, mi, fa, so, ti
fa, mi, fa, ti, fa
fa, mi, la, fa, fa
fa, mi, la, fa, la
fa, mi, la, la, so
fa, mi, la, mi, la
fa, mi, la, re, fa
fa, mi, la, so, fa
fa, mi, la, so, ti
fa, mi, la, ti, la
fa, mi, la, ti, so
fa, mi, la, ti, ti
fa, mi, mi, do, ti
fa, mi, mi, fa, fa
fa, mi, mi, la, la
fa, mi, mi, la, re
fa, mi, mi, la, so
fa, mi, mi, mi, do
fa, mi, mi, mi, re
fa, mi, mi, mi, so
fa, mi, mi, mi, ti
fa, mi, mi, re, la
fa, mi, mi, re, re
fa, mi, mi, re, so
fa, mi, mi, so, do
fa, mi, mi, so, mi
fa, mi, mi, so, re
fa, mi, mi, so, so
fa, mi, mi, so, ti
fa, mi, mi, ti, so
fa, mi, re, do, so
fa, mi, re, fa, mi
fa, mi, re, la, so
fa, mi, re, mi, la
fa, mi, re, mi, ti
fa, mi, re, re, ti
fa, mi, so, do, fa
fa, mi, so, do, la
fa, mi, so, do, so
fa, mi, so, fa, mi
fa, mi, so, fa, re
fa, mi, so, la, do
fa, mi, so, re, mi
fa, mi, so, so, la
fa, mi, so, so, mi
fa, mi, so, ti, do
fa, mi, so, ti, mi
fa, mi, so, ti, re
fa, mi, so, ti, ti
fa, mi, ti, do, la
fa, mi, ti, fa, fa
fa, mi, ti, fa, mi
fa, mi, ti, la, fa
fa, mi, ti, mi, do
fa, mi, ti, mi, la
fa, mi, ti, mi, so
fa, mi, ti, re, la
fa, mi, ti, re, re
fa, re, do, do, ti
fa, re, do, fa, fa
fa, re, do, fa, mi
fa, re, do, fa, so
fa, re, do, la, do
fa, re, do, la, fa
fa, re, do, la, la
fa, re, do, la, so
fa, re, do, mi, ti
fa, re, do, re, re
fa, re, do, so, do
fa, re, do, so, fa
fa, re, do, so, re
fa, re, do, so, so
fa, re, do, ti, do
fa, re, do, ti, fa
fa, re, do, ti, so
fa, re, fa, do, fa
fa, re, fa, do, la
fa, re, fa, do, re
fa, re, fa, fa, do
fa, re, fa, fa, fa
fa, re, fa, fa, la
fa, re, fa, fa, mi
fa, re, fa, fa, so
fa, re, fa, fa, ti
fa, re, fa, la, ti
fa, re, fa, mi, mi
fa, re, fa, re, re
fa, re, fa, re, ti
fa, re, fa, so, do
fa, re, fa, so, la
fa, re, fa, so, ti
fa, re, la, do, so
fa, re, la, fa, mi
fa, re, la, mi, mi
fa, re, la, mi, so
fa, re, la, mi, ti
fa, re, la, re, do
fa, re, la, re, fa
fa, re, la, re, la
fa, re, la, re, ti
fa, re, la, so, fa
fa, re, la, so, so
fa, re, la, so, ti
fa, re, la, ti, re
fa, re, mi, do, do
fa, re, mi, do, so
fa, re, mi, fa, fa
fa, re, mi, fa, so
fa, re, mi, la, do
fa, re, mi, la, mi
fa, re, mi, la, so
fa, re, mi, mi, mi
fa, re, mi, re, mi
fa, re, mi, re, so
fa, re, mi, so, do
fa, re, mi, so, so
fa, re, mi, ti, mi
fa, re, re, do, re
fa, re, re, do, ti
fa, re, re, fa, la
fa, re, re, fa, so
fa, re, re, fa, ti
fa, re, re, mi, fa
fa, re, re, mi, mi
fa, re, re, mi, re
fa, re, re, mi, ti
fa, re, re, re, mi
fa, re, re, re, ti
fa, re, re, so, do
fa, re, so, fa, fa
fa, re, so, fa, re
fa, re, so, mi, do
fa, re, so, mi, so
fa, re, so, mi, ti
fa, re, so, re, fa
fa, re, so, re, re
fa, re, so, so, do
fa, re, so, so, mi
fa, re, so, so, so
fa, re, ti, do, fa
fa, re, ti, do, la
fa, re, ti, do, mi
fa, re, ti, do, so
fa, re, ti, fa, do
fa, re, ti, fa, la
fa, re, ti, fa, re
fa, re, ti, la, mi
fa, re, ti, mi, so
fa, re, ti, re, re
fa, re, ti, re, ti
fa, re, ti, so, la
fa, re, ti, so, mi
fa, re, ti, so, re
fa, re, ti, so, so
fa, re, ti, ti, mi
fa, so, do, la, fa
fa, so, do, la, la
fa, so, do, mi, ti
fa, so, do, re, do
fa, so, do, re, re
fa, so, do, re, ti
fa, so, do, so, do
fa, so, do, so, so
fa, so, do, ti, re
fa, so, fa, do, mi
fa, so, fa, do, re
fa, so, fa, fa, ti
fa, so, fa, la, do
fa, so, fa, la, fa
fa, so, fa, la, la
fa, so, fa, la, so
fa, so, fa, re, fa
fa, so, fa, re, la
fa, so, fa, re, ti
fa, so, fa, so, do
fa, so, fa, so, mi
fa, so, fa, so, re
fa, so, fa, ti, do
fa, so, fa, ti, mi
fa, so, la, do, fa
fa, so, la, do, mi
fa, so, la, fa, mi
fa, so, la, la, mi
fa, so, la, la, re
fa, so, la, mi, fa
fa, so, la, re, la
fa, so, la, so, do
fa, so, la, ti, mi
fa, so, mi, do, la
fa, so, mi, do, so
fa, so, mi, fa, fa
fa, so, mi, fa, so
fa, so, mi, la, re
fa, so, mi, mi, so
fa, so, mi, re, do
fa, so, mi, re, la
fa, so, mi, re, ti
fa, so, mi, so, do
fa, so, mi, so, fa
fa, so, mi, so, la
fa, so, mi, ti, fa
fa, so, mi, ti, mi
fa, so, re, fa, la
fa, so, re, la, fa
fa, so, re, mi, fa
fa, so, re, mi, ti
fa, so, re, re, la
fa, so, re, re, re
