A'S          A.'S          A.S
PARAPHRASE          PARFAITS          PARLAYS
PATHWAYS          PAYS          PEI'S
PHASE          PHRASE          PIAGET'S
PINOCHET'S          PINOCHET'S(2)          PJ'S
PLAY'S          PLAYS          POLONAISE
POLYPHASE          PORTRAYS          PRAISE
PRAYS          PREYS          PROTEASE
PROTEGES          PURVEYS          RAILWAY'S
RAILWAYS          RAISE          RASE
RAY'S          RAYS          RAZE
RE'S          REA'S          REAPPRAISE
RELAYS          REPAYS          REPHRASE
REPLAYS          REPLICASE          RES
RESUMES(2)          RISTORANTES          ROADWAYS
ROGET'S          RUNAWAYS          RUNWAYS
SAFEWAY'S          SAIS          SAIZ
SANTA-FE'S          SATURDAY'S(1)          SATURDAYS(1)
SCREENPLAYS          SHAYS          SHEA'S
SHLAES          SIDEWAYS          SKASE
SPECULATORS'          SPRAYS          STAIRWAYS
STAYS          STEINWAY'S          STOWAWAY'S
STOWAWAYS          STRAIGHTAWAYS          STRANGWAYES
STRAYS          STREPTOKINASE(1)          SUBWAYS
SUNDAE'S          SUNDAY'S          SUNDAYS
SUPERHIGHWAYS          SURVEY'S          SURVEY'S(1)
SURVEYS          SURVEYS(1)          SWAYS
SWAYZE          SWORDPLAYS          TAIPEI'S
TAPEIE'S          TAYS          TELOMERASE
THURSDAY'S(1)          THURSDAYS          TODAY'S
TODAY'S(1)          TODAYS          TODAYS(1)
TOUVIER'S          TRAILWAYS          TRAILWAYS'
TRAVELDAYS          TRAYS          TUESDAY'S(1)
TUESDAY'S(2)          TUESDAYS          TUESDAYS(2)
UKASE          UROKINASE          URUGUAY'S
USAIRWAYS          VELAGRANDE'S          VERSACE'S
WAIS          WALKWAYS          WATERWAYS
WAY'S          WAYS          WEDNESDAY'S(1)
WEDNESDAYS          WEEKDAYS          WEIGHS
WORKDAYS          X-RAYS          YEAS
YESTERDAY'S          YESTERDAYS          ZIMBABWE'S
